ID_skupiny_workshopu,ID_Adresy,Kod_mena,Kod_oblasti_marketingu,Nazev_obchodu,Telefon_obchodu,Email_obchodu,Dalsi_detaily
136,383,CZK,FR,Kavárna Amely Cafe,122-084-8029,amely.ruecker@example.com,
140,180,CZK,DE,Veda Film,793-966-9311x5303,breitenberg.veda@example.com,
176,286,CZK,RU,Královna umění,492-463-5967,quigley.queen@example.org,Dobrý
314,369,CZK,RU,Kole foto,(256)743-0310,kole.torp@example.org,
382,266,CZK,US,WAT Food,(411)133-9128,watsica.hettie@example.com,
405,207,CZK,ES,Hansen Print,1-764-337-3453,hansen.krista@example.net,Dobrý
415,383,CZK,RU,Roo Place,(422)705-5633,roosevelt61@example.com,
431,110,CZK,MX,Uhuels Fruit,(636)443-4067,uhuels@example.net,
470,369,CZK,DE,Harry Beef,(904)958-9909x0087,harry.nicolas@example.org,
685,201,CZK,RU,Welch Flower,334-591-4561x465,welch.colby@example.net,Špatný
708,230,CZK,RU,Workshop Kling,499-032-2149,katherine.kling@example.org,
735,286,CZK,FR,Orn News,+60(6)8081312118,arturo.orn@example.org,
838,124,CZK,RU,Bednar Film,1-351-773-1587x95545,bednar.michael@example.org,
942,98,CZK,IE,Kessler Exploration,(020)161-0983x567,kessler.maximillia@example.net,
954,374,CZK,PT,Warino Photo,1-811-875-3222,waino.king@example.com,
