id_zakaznika,id_adresy,datum_od,datum_do
12,7,23. 07. 2015 14:37:18,07. 03. 2018 12:04:20
12,2,06. 11. 2016 14:33:12,14. 03. 2018 21:36:28
3,9,19. 11. 2011 12:17:36,22. 03. 2018 10:20:16
13,15,16. 02. 2009 23:04:20,07. .03 2018 17:47:47
3,12,22. 06. 2008 21:50:44,13. 03. 2018 00:08:29
11,10,09. 04. 2012 18:10:36,11. 03. 2018 20:16:56
11,10,17. 11. 2014 15:11:26,08. 03. 2018 23:31:30
2,13,02. 01. 2011 21:42:29,25. 02. 2018 19:55:00
13,11,01. 05. 2015 12:44:46,24. 03. 2018 06:20:36
12,3,02. 06. 2011 02:53:28,10. 03. 2018 00:47:18
6,1,14. 06. 2013 23:07:04,16. 03. 2018 14:49:28
14,12,13. 10. 2008 04:37:27,19. 03. 2018 10:10:53
13,5,16. 03. 2012 17:42:30,27. 02. 2018 07:31:19
7,13,19. 11. 2012 09:20:49,11. 03. 2018 20:11:21
7,3,09. 11. 2012 07:15:16,09. 03. 2018 12:03:31
2,4,02. 11. 2011 17:31:41,07. 03. 2018 05:29:10
9,13,25. 03. 2010 08:23:20,09. 03. 2018 16:41:55
6,12,25. 10. 2017 07:35:59,11. 03. 2018 21:40:52
7,3,22. 05. 2009 04:42:28,18. 03. 2018 11:13:27
12,9,23. 12. 2016 04:42:07,20. 03. 2018 01:13:38
