id_produktu,kod_typu_produktu,nazev_produktu,cena_produktu
1,Hardware,Apple,"1 190 899 120,995854"
2,Oblečení,jcrew,"665 352 717,240656"
3,Hardware,Apple,"223 347,552113"
4,Hardware,Apple,"499 307 544,213734"
5,Oblečení,jcrew,"128 912 725,776946"
6,Hardware,Apple,"1 677,141655"
7,Hardware,Apple,"9 796,033073"
8,Hardware,Sony,"96 705 674,71118"
9,Oblečení,jcrew,"13 545,742527"
10,Hardware,Sony,"155 982,155043"
11,Oblečení,jcrew,"3 261,525399"
12,Oblečení,gucci,"12 915,263085"
13,Oblečení,gucci,"247 694,716435"
14,Hardware,Sony,"8 480,660525"
15,Oblečení,gucci,"6 753 119 404,61139"

