id_obch_domu,id_retezce_obch_domu,nazev_obchodu,adresa_obchodu,telefon_obchodu,email_obchodu
1,1,nazev_obchodu,"Višňová 12, Brno, Jihomoravský kraj",(948)944-5099x2027,bmaggio@example.com
2,3,nazev_obchodu,"Pod Lesem 45, Ostrava, Moravskoslezský kraj",877-917-5029,larissa10@example.org
3,4,nazev_obchodu,"Na Výsluní 101, Karlovy Vary, Karlovarský kraj",1-216-312-0375,alexandro.mcclure@example.net
4,2,nazev_obchodu,"Sluneční 33, Zlín, Zlínský kraj",670-466-6367,bryon24@example.org
5,3,nazev_obchodu,"Pod Lesem 17, České Budějovice, Jihočeský kraj",01399327266,creola23@example.org
6,4,nazev_obchodu,"Višňová 88, Liberec, Liberecký kraj",1-859-843-1957,jerod.reynolds@example.net
7,4,nazev_obchodu,"Na Výsluní 209, Praha, Hlavní město Praha",1-109-872-9142x77078,ihamill@example.org
8,4,nazev_obchodu,"Polní 9, Pardubice, Pardubický kraj",+67(5)4983519062,casper.adolfo@example.org
9,4,nazev_obchodu,"Rybniční 73, Ústí nad Labem, Ústecký kraj",(723)503-7086x356,selmer.stiedemann@example.org
10,3,nazev_obchodu,"Za Sadem 22, Plzeň, Plzeňský kraj",07126036440,luisa57@example.org
11,2,nazev_obchodu,"Slunná 5, Hradec Králové, Královéhradecký kraj",611-037-9309,vonrueden.vern@example.org
12,4,nazev_obchodu,"Pod Strání 14, Olomouc, Olomoucký kraj",(626)763-7031,freda.toy@example.org
13,2,nazev_obchodu,"Na Hrázi 6, Zlín, Zlínský kraj",1-764-126-7567x0795,katlynn62@example.com
14,1,nazev_obchodu,"Višňová 81, Brno, Jihomoravský kraj",319.331.3397,mohr.elwin@example.net
15,3,nazev_obchodu,"Polní 44, Pardubice, Pardubický kraj",(587)993-3604x3077,kelly30@example.com
