id,en_queries,mt_queries,cze_queries,db_folder
1008,Show the number of products with price higher than 1000 or lower than 500 for each product name in a pie chart.,Zobrazte počet produktů s cenou vyšší než 1000 nebo nižší než 500 pro každý název produktu v koláčovém grafu.,Zobraz počet produktů s cenou vyšší než 21 750 Kč nebo nižší než 10 875 pro každý název produktu v koláčovém grafu.,customers_and_products_contacts
1010@x_name@DESC,"Show each state and the number of addresses in each state Show bar chart, rank X in desc order.","Zobrazit jednotlivé státy a počet adres v každém státě Zobrazit sloupcový graf, seřadit X sestupně.","Zobraz jednotlivé kraje a počet adres v každém kraji. Zobraz sloupcový graf, seřaď X sestupně.",customers_and_products_contacts
1129,"What is the highest price of product, grouped by product type? Show a bar chart. | Give the maximum product price for each product type in a bar chart. | Bar chart x axis product type code y axis maximal product price",Jaká je nejvyšší cena výrobku seskupeného podle typu výrobku? Zobrazte sloupcový graf. | Uveďte maximální cenu výrobku pro každý typ výrobku ve sloupcovém grafu. | Sloupcový graf osa x kód typu výrobku osa y maximální cena výrobku,"Jaká je nejvyšší cena výrobku seskupeného podle typu výrobku? Zobraz sloupcový graf. | Uveď maximální cenu výrobku pro každý typ výrobku ve sloupcovém grafu. | Sloupcový graf: osa x - kód typu výrobku, osa y - maximální cena výrobku",department_store
189,"Show me about the distribution of date_address_to and the amount of date_address_to, and group by attribute other_details and bin date_address_to by month in a bar chart. | Draw a bar chart about the distribution of date_address_to and the amount of date_address_to, and group by attribute other_details and bin date_address_to by month. | A bar chart shows the distribution of date_address_to and the amount of date_address_to, and group by attribute other_details and bin date_address_to by month. | Find date_address_to and the amount of date_address_to, and colored by attribute other_details and bin date_address_to by month, and visualize them by a bar chart.",Ukažte mi rozložení date_adresa_do a množství date_adresa_do a seskupte podle atributu ostatní_detaily a bin date_adresa_do podle měsíce ve sloupcovém grafu. | Nakreslete sloupcový graf rozložení date_adresa_do a množství date_adresa_do a seskupte je podle atributu ostatní_detaily a bin date_adresa_do podle měsíců. | Sloupcový graf zobrazuje rozložení date_address_to a množství date_address_to a seskupení podle atributu other_details a bin date_address_to podle měsíců. | Zjistěte datum_adresy_do a množství datum_adresy_do a barevně podle atributu ostatní_detaily a bin datum_adresy_do podle měsíců a vizualizujte je pomocí sloupcového grafu.,Ukaž mi rozložení datum_na_adresu a množství datum_na_adresu. Seskup data podle atributu dalsi_detaily a rozděl datum_na_adresu podle měsíce ve sloupcovém grafu. | Nakresli sloupcový graf rozložení datum_na_adresu a množství datum_na_adresu. Seskup podle atributu dalsi_detaily a rozděl datum_na_adresu podle měsíce. | Sloupcový graf zobrazuje rozložení datum_na_adresu a množství datum_na_adresu a seskupení podle atributu dalsi_detaily a rozdělení datum_na_adresu podle měsíců. | Zjisti datum_na_adresu a množství datum_na_adresu a barevně data rozděl podle atributu dalsi_detaily a datum_na_adresu rozděl podle měsíců a vizualizuj je pomocí sloupcového grafu.,behavior_monitoring
210,"Find  date_address_to and the sum of monthly_rental , and group by attribute other_details and bin date_address_to by weekday, and visualize them by a bar chart.","Zjistěte datum_adresy_do a součet měsíčního_nájmu , seskupte je podle atributu ostatní_podrobnosti a bin datum_adresy_do podle dnů v týdnu a vizualizujte je pomocí sloupcového grafu.","Zjisti datum_adresa_od a součet mesicni_pronajem_kc, seskup je podle atributu dalsi_detaily a rozděl datum_adresa_od podle dnů v týdnu a vizualizuj je pomocí sloupcového grafu.",behavior_monitoring
2224@x_name@ASC,"For those records from the products and each product's manufacturer, show me about the distribution of headquarter and the sum of revenue , and group by attribute headquarter in a bar chart, could you rank by the X-axis in ascending? | For those records from the products and each product's manufacturer, visualize a bar chart about the distribution of headquarter and the sum of revenue , and group by attribute headquarter, I want to display in ascending by the x axis. | For those records from the products and each product's manufacturer, draw a bar chart about the distribution of headquarter and the sum of revenue , and group by attribute headquarter, order by the x-axis in asc.","Pro tyto záznamy z výrobků a výrobce každého výrobku mi ukažte o rozdělení sídla a součtu příjmů , a seskupte podle atributu sídlo do sloupcového grafu, mohli byste seřadit podle osy X vzestupně? | Pro tyto záznamy z produktů a výrobce každého produktu vizualizujte sloupcový graf o rozdělení sídla a součtu tržeb , a seskupte podle atributu sídlo, chci zobrazit vzestupně podle osy x. | Pro tyto záznamy z výrobků a výrobce každého výrobku nakreslete sloupcový graf o rozložení sídla a součtu tržeb , a seskupte je podle atributu sídlo, uspořádejte podle osy x v asc.","Pro tyto záznamy z výrobků a výrobce každého výrobku mi ukaž o rozdělení sídla a součtu příjmů, a seskup podle atributu sídlo do sloupcového grafu. Mohl bys to seřadit podle osy X vzestupně? | Pro tyto záznamy z produktů a výrobce každého produktu vizualizuj sloupcový graf o rozdělení sídla a součtu tržeb, a seskup podle atributu sídlo, chci to zobrazit vzestupně podle osy x. | Pro tyto záznamy z výrobků a výrobce každého výrobku nakresli sloupcový graf o rozložení sídla a součtu tržeb, a seskup je podle atributu sídlo. Uspořádej to podle osy x vzestupně.",manufactory_1
2236@y_name@ASC,"For those records from the products and each product's manufacturer, show me about the distribution of founder and the average of revenue , and group by attribute founder in a bar chart, and sort by the the average of revenue in ascending. | For those records from the products and each product's manufacturer, find founder and the average of revenue , and group by attribute founder, and visualize them by a bar chart, display by the total number in asc. | For those records from the products and each product's manufacturer, give me the comparison about the average of revenue over the founder , and group by attribute founder by a bar chart, could you order by the the average of revenue in ascending? | For those records from the products and each product's manufacturer, draw a bar chart about the distribution of founder and the average of revenue , and group by attribute founder, and rank y axis in ascending order.","Pro tyto záznamy z výrobků a výrobce každého výrobku mi ukažte rozdělení zakladatele a průměr příjmů , a seskupte je podle atributu zakladatel do sloupcového grafu a seřaďte vzestupně podle průměru příjmů. | Pro tyto záznamy z výrobků a každého výrobce výrobku najděte zakladatele a průměr příjmů , seskupte je podle atributu zakladatel a vizualizujte je pomocí sloupcového grafu, zobrazte podle celkového počtu v asc. | Pro ty záznamy z výrobků a výrobce každého výrobku mi dejte srovnání o průměru tržeb přes zřizovatele , a seskupte podle příznaku zřizovatel pomocí sloupcového grafu, mohli byste seřadit podle průměru tržeb vzestupně? | Pro tyto záznamy z výrobků a výrobce každého výrobku nakreslete sloupcový graf o rozložení zakladatele a průměru příjmů , seskupte je podle atributu zakladatel a osu y seřaďte vzestupně.","Pro tyto záznamy z výrobků a výrobce každého výrobku mi zobraz rozdělení zakladatele a průměr příjmů, a seskup je podle atributu zakladatel do sloupcového grafu a seřaď vzestupně podle průměru příjmů. | Pro tyto záznamy z výrobků a každého výrobce výrobku najdi zakladatele a průměr příjmů, seskup je podle atributu zakladatel a vizualizuj je pomocí sloupcového grafu, zobraz data podle celkového počtu vzestupně. | Pro záznamy z výrobků a výrobce každého výrobku mi dej srovnání o průměru tržeb přes zřizovatele, a seskup podle příznaku zřizovatel pomocí sloupcového grafu. Mohl bys je seřadit podle průměru tržeb vzestupně? | Pro tyto záznamy z výrobků a výrobce každého výrobku nakresli sloupcový graf o rozložení zakladatele a průměru příjmů, seskup je podle atributu zakladatel a osu y seřaď vzestupně.",manufactory_1
2606,Find the name and capacity of products with price greater than 700 (in USD). Visualize by pie chart. | Pie. which catalog contents has price above 700 dollars? Show their catalog entry names and capacities. | Which catalog contents has price above 700 dollars? Show their catalog entry names and capacities with a pie chart.,Zjistěte název a kapacitu výrobků s cenou vyšší než 700 (v USD). Vizualizace pomocí koláčového grafu. | Pie. který obsah katalogu má cenu vyšší než 700 dolarů? Zobrazte názvy a kapacity jejich katalogových položek. | Který obsah katalogu má cenu vyšší než 700 dolarů? Zobrazte názvy a kapacity jejich položek v katalogu pomocí koláčového grafu.,"Zjisti název a kapacitu výrobků s cenou vyšší než 15 225 (v CZK). Vizualizace pomocí koláčového grafu. | Koláčový graf o tom, který obsah katalogu má cenu vyšší než 15 225 korun. Zobraz názvy a kapacity jejich katalogových položek. | Který obsah katalogu má cenu vyšší než 15 225 korun? Zobraz názvy a kapacity jejich položek v katalogu pomocí koláčového grafu.",product_catalog
2865@y_name@ASC,"List the name for storms and the number of affected regions for each storm with a bar chart, and display the total number in ascending order. | Return a bar chart on how many regions were affected by each storm?, and I want to list in asc by the y-axis. | How many regions were affected by each storm Visualize by bar chart, rank in ascending by the Y please.","Vypište názvy bouří a počet zasažených oblastí pro každou bouři pomocí sloupcového grafu a zobrazte celkový počet ve vzestupném pořadí. | Vrátit sloupcový graf o tom, kolik regionů bylo zasaženo každou bouří?, a chci seznam v asc podle osy y. | Kolik regionů bylo zasaženo jednotlivými bouřkami Vizualizujte pomocí sloupcového grafu, seřaďte je vzestupně podle Y, prosím.","Vypiš názvy bouří a počet zasažených oblastí pro každou bouři pomocí sloupcového grafu a zobraz celkový počet ve vzestupném pořadí. | Vrať sloupcový graf o tom, kolik regionů bylo zasaženo každou bouří? Chci je seřadit vzestupně podle osy y. | Kolik regionů bylo zasaženo jednotlivými bouřkami? Vizualizuj pomocí sloupcového grafu, seřaď je vzestupně podle Y, prosím.",storm_record
2866,Show the name for regions and the number of storms for each region in a pie chart. | Show the name for regions and the number of storms for each region. Plot them as pie chart. | Show me a pie chart for how many storms occured in each region? | How many storms occured in each region. Plot them as pie chart.,"Zobrazte názvy regionů a počet bouří pro každý region v koláčovém grafu. | Zobrazte názvy regionů a počet bouří pro každý region. Vykreslete je jako koláčový graf. | Ukažte mi koláčový graf, kolik bouří se vyskytlo v jednotlivých regionech? | Kolik bouří se vyskytlo v jednotlivých regionech. Vykreslete je jako koláčový graf.","Zobraz názvy regionů a počet bouří pro každý region v koláčovém grafu. | Zobraz názvy regionů a počet bouří pro každý region. Vykresli je jako koláčový graf. | Ukaž mi koláčový graf o tom, kolik bouří se vyskytlo v jednotlivých regionech? | Kolik bouří se vyskytlo v jednotlivých regionech? Vykresli je jako koláčový graf.",storm_record
