id,prompt_type,prompt,response_file,graph_file,code_status
1008_1,mt_queries,Zobrazte počet produktů s cenou vyšší než 1000 nebo nižší než 500 pro každý název produktu v koláčovém grafu.,responses_cze\1008_1_mt_queries.txt,graphs_cze\1008_1_mt_queries.png,✅ Graf uložen
1010@x_name@DESC_1,mt_queries,"Zobrazit jednotlivé státy a počet adres v každém státě Zobrazit sloupcový graf, seřadit X sestupně.",responses_cze\1010@x_name@DESC_1_mt_queries.txt,graphs_cze\1010@x_name@DESC_1_mt_queries.png,✅ Graf uložen
1129_1,mt_queries,Jaká je nejvyšší cena výrobku seskupeného podle typu výrobku? Zobrazte sloupcový graf.,responses_cze\1129_1_mt_queries.txt,graphs_cze\1129_1_mt_queries.png,✅ Graf uložen
1129_2,mt_queries,Uveďte maximální cenu výrobku pro každý typ výrobku ve sloupcovém grafu.,responses_cze\1129_2_mt_queries.txt,graphs_cze\1129_2_mt_queries.png,✅ Graf uložen
1129_3,mt_queries,Sloupcový graf osa x kód typu výrobku osa y maximální cena výrobku,responses_cze\1129_3_mt_queries.txt,graphs_cze\1129_3_mt_queries.png,✅ Graf uložen
189_1,mt_queries,Ukažte mi rozložení date_adresa_do a množství date_adresa_do a seskupte podle atributu ostatní_detaily a bin date_adresa_do podle měsíce ve sloupcovém grafu.,responses_cze\189_1_mt_queries.txt,graphs_cze\189_1_mt_queries.png,✅ Graf uložen
189_2,mt_queries,Nakreslete sloupcový graf rozložení date_adresa_do a množství date_adresa_do a seskupte je podle atributu ostatní_detaily a bin date_adresa_do podle měsíců.,responses_cze\189_2_mt_queries.txt,,❌ Chyba při vykreslení: All arrays must be of the same length
189_3,mt_queries,Sloupcový graf zobrazuje rozložení date_address_to a množství date_address_to a seskupení podle atributu other_details a bin date_address_to podle měsíců.,responses_cze\189_3_mt_queries.txt,,❌ Žádný kód nenalezen
189_4,mt_queries,Zjistěte datum_adresy_do a množství datum_adresy_do a barevně podle atributu ostatní_detaily a bin datum_adresy_do podle měsíců a vizualizujte je pomocí sloupcového grafu.,responses_cze\189_4_mt_queries.txt,graphs_cze\189_4_mt_queries.png,✅ Graf uložen
210_1,mt_queries,"Zjistěte datum_adresy_do a součet měsíčního_nájmu , seskupte je podle atributu ostatní_podrobnosti a bin datum_adresy_do podle dnů v týdnu a vizualizujte je pomocí sloupcového grafu.",responses_cze\210_1_mt_queries.txt,,❌ Chyba při vykreslení: All arrays must be of the same length
2224@x_name@ASC_1,mt_queries,"Pro tyto záznamy z výrobků a výrobce každého výrobku mi ukažte o rozdělení sídla a součtu příjmů , a seskupte podle atributu sídlo do sloupcového grafu, mohli byste seřadit podle osy X vzestupně?",responses_cze\2224@x_name@ASC_1_mt_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2224@x_name@ASC_2,mt_queries,"Pro tyto záznamy z produktů a výrobce každého produktu vizualizujte sloupcový graf o rozdělení sídla a součtu tržeb , a seskupte podle atributu sídlo, chci zobrazit vzestupně podle osy x.",responses_cze\2224@x_name@ASC_2_mt_queries.txt,,❌ Žádný kód nenalezen
2224@x_name@ASC_3,mt_queries,"Pro tyto záznamy z výrobků a výrobce každého výrobku nakreslete sloupcový graf o rozložení sídla a součtu tržeb , a seskupte je podle atributu sídlo, uspořádejte podle osy x v asc.",responses_cze\2224@x_name@ASC_3_mt_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2236@y_name@ASC_1,mt_queries,"Pro tyto záznamy z výrobků a výrobce každého výrobku mi ukažte rozdělení zakladatele a průměr příjmů , a seskupte je podle atributu zakladatel do sloupcového grafu a seřaďte vzestupně podle průměru příjmů.",responses_cze\2236@y_name@ASC_1_mt_queries.txt,graphs_cze\2236@y_name@ASC_1_mt_queries.png,✅ Graf uložen
2236@y_name@ASC_2,mt_queries,"Pro tyto záznamy z výrobků a každého výrobce výrobku najděte zakladatele a průměr příjmů , seskupte je podle atributu zakladatel a vizualizujte je pomocí sloupcového grafu, zobrazte podle celkového počtu v asc.",responses_cze\2236@y_name@ASC_2_mt_queries.txt,graphs_cze\2236@y_name@ASC_2_mt_queries.png,✅ Graf uložen
2236@y_name@ASC_3,mt_queries,"Pro ty záznamy z výrobků a výrobce každého výrobku mi dejte srovnání o průměru tržeb přes zřizovatele , a seskupte podle příznaku zřizovatel pomocí sloupcového grafu, mohli byste seřadit podle průměru tržeb vzestupně?",responses_cze\2236@y_name@ASC_3_mt_queries.txt,graphs_cze\2236@y_name@ASC_3_mt_queries.png,✅ Graf uložen
2236@y_name@ASC_4,mt_queries,"Pro tyto záznamy z výrobků a výrobce každého výrobku nakreslete sloupcový graf o rozložení zakladatele a průměru příjmů , seskupte je podle atributu zakladatel a osu y seřaďte vzestupně.",responses_cze\2236@y_name@ASC_4_mt_queries.txt,,❌ Chyba při vykreslení: You are trying to merge on int64 and object columns for key 'vyrobce'. If you wish to proceed you should use pd.concat
2606_1,mt_queries,Zjistěte název a kapacitu výrobků s cenou vyšší než 700 (v USD). Vizualizace pomocí koláčového grafu.,responses_cze\2606_1_mt_queries.txt,graphs_cze\2606_1_mt_queries.png,✅ Graf uložen
2606_2,mt_queries,Pie. který obsah katalogu má cenu vyšší než 700 dolarů? Zobrazte názvy a kapacity jejich katalogových položek.,responses_cze\2606_2_mt_queries.txt,graphs_cze\2606_2_mt_queries.png,✅ Graf uložen
2606_3,mt_queries,Který obsah katalogu má cenu vyšší než 700 dolarů? Zobrazte názvy a kapacity jejich položek v katalogu pomocí koláčového grafu.,responses_cze\2606_3_mt_queries.txt,graphs_cze\2606_3_mt_queries.png,✅ Graf uložen
2865@y_name@ASC_1,mt_queries,Vypište názvy bouří a počet zasažených oblastí pro každou bouři pomocí sloupcového grafu a zobrazte celkový počet ve vzestupném pořadí.,responses_cze\2865@y_name@ASC_1_mt_queries.txt,graphs_cze\2865@y_name@ASC_1_mt_queries.png,✅ Graf uložen
2865@y_name@ASC_2,mt_queries,"Vrátit sloupcový graf o tom, kolik regionů bylo zasaženo každou bouří?, a chci seznam v asc podle osy y.",responses_cze\2865@y_name@ASC_2_mt_queries.txt,,❌ Chyba při vykreslení: name 'affected_regions_count' is not defined
2865@y_name@ASC_3,mt_queries,"Kolik regionů bylo zasaženo jednotlivými bouřkami Vizualizujte pomocí sloupcového grafu, seřaďte je vzestupně podle Y, prosím.",responses_cze\2865@y_name@ASC_3_mt_queries.txt,,❌ Chyba při vykreslení: name 'affected_regions_counts' is not defined
2866_1,mt_queries,Zobrazte názvy regionů a počet bouří pro každý region v koláčovém grafu.,responses_cze\2866_1_mt_queries.txt,graphs_cze\2866_1_mt_queries.png,✅ Graf uložen
2866_2,mt_queries,Zobrazte názvy regionů a počet bouří pro každý region. Vykreslete je jako koláčový graf.,responses_cze\2866_2_mt_queries.txt,graphs_cze\2866_2_mt_queries.png,✅ Graf uložen
2866_3,mt_queries,"Ukažte mi koláčový graf, kolik bouří se vyskytlo v jednotlivých regionech?",responses_cze\2866_3_mt_queries.txt,graphs_cze\2866_3_mt_queries.png,✅ Graf uložen
2866_4,mt_queries,Kolik bouří se vyskytlo v jednotlivých regionech. Vykreslete je jako koláčový graf.,responses_cze\2866_4_mt_queries.txt,,❌ Žádný kód nenalezen
2867@x_name@ASC_1,mt_queries,"Zobrazte názvy regionů a počet bouří pro každý region pomocí sloupcového grafu, zobrazeného vzestupně podle osy X.",responses_cze\2867@x_name@ASC_1_mt_queries.txt,,❌ Žádný kód nenalezen
2867@x_name@ASC_2,mt_queries,"Ukažte mi sloupcový graf, kolik bouří se vyskytlo v jednotlivých regionech, a chci je seřadit vzestupně podle jmen.",responses_cze\2867@x_name@ASC_2_mt_queries.txt,graphs_cze\2867@x_name@ASC_2_mt_queries.png,✅ Graf uložen
2985@y_name@DESC_1,mt_queries,"Najděte popisy typů transakcí a data, pokud je počet akcií přepočítán, seskupte podle typu transakce, spočítejte datum transakce a datum rozdělte do intervalu dnů v týdnu, zobrazte ve sloupcovém grafu, chci zobrazit osu y od nejvyššího po nejnižší pořadí.",responses_cze\2985@y_name@DESC_1_mt_queries.txt,,❌ Žádný kód nenalezen
3198_1,mt_queries,"Vypište státy všech hlasování, vypočítejte celkový počet států a znázorněte poměr pomocí koláčového grafu.",responses_cze\3198_1_mt_queries.txt,graphs_cze\3198_1_mt_queries.png,✅ Graf uložen
868_1,mt_queries,Zjistěte data objednávek s cenou nad 1000 a spočítejte je pomocí čárového grafu,responses_cze\868_1_mt_queries.txt,,❌ Chyba při vykreslení: [Errno 2] No such file or directory: 'Invoices.csv'
868_2,mt_queries,Jaká jsou data objednávek s cenou vyšší než 1000 a spočítejte je pomocí čárového grafu,responses_cze\868_2_mt_queries.txt,,❌ Žádný kód nenalezen
868_3,mt_queries,Čárový graf pro zjištění počtu dat objednávek s cenou nad 1000.,responses_cze\868_3_mt_queries.txt,,❌ Žádný kód nenalezen
868_4,mt_queries,Čárový graf pro jaký počet dat objednávek s cenou vyšší než 1000?,responses_cze\868_4_mt_queries.txt,,❌ Žádný kód nenalezen
883_1,mt_queries,"Uveďte popisy typů služeb, které stojí více než 100, a spočítejte je pomocí koláčového grafu",responses_cze\883_1_mt_queries.txt,graphs_cze\883_1_mt_queries.png,✅ Graf uložen
883_2,mt_queries,Koláčový graf pro kolik je počet popisů typů služeb s cenou produktu nad 100?,responses_cze\883_2_mt_queries.txt,graphs_cze\883_2_mt_queries.png,✅ Graf uložen
883_3,mt_queries,"Koláčový graf, který mi poskytne počet popisů typů služeb, které stojí více než 100.",responses_cze\883_3_mt_queries.txt,graphs_cze\883_3_mt_queries.png,✅ Graf uložen
883_4,mt_queries,Jaké jsou popisy typů služeb s cenou produktu nad 100 a spočítejte je pomocí koláčového grafu,responses_cze\883_4_mt_queries.txt,,❌ Žádný kód nenalezen
